Date,Comment,catagory,User
2018-10-10 17:37:45,嘻嘻真心不错，物流快 &hellip;&hellip;卖家包装的很贴心，非常严实呢，收到确实质量好，服务不错，样式很好，价格还很便宜， 打开包装，让我大大吃惊~~箱子真的很漂亮，箱子里面的空间也很大，设计很合理，比那种老式拉杆箱设计的空间真的大很多，可以放好多好多的东西。颜色看着好看，万向轮很顺滑 ，喜欢的快快入手吧，是一次很好的网购，以后还会再来光顾的，强力推荐,尺寸:24寸;颜色分类:复古镜面铝框-耀目黑,['8***龙']
2018-10-11 15:14:30,总体来说还是不错的，最起码比外边卖的要好，还实惠，拉锁的也比其它锁的那种强很多&hellip;&hellip;话不多说，好评，之前一直在忙，到家十多天也忘记评论了，卖家给打得电话才记起来，说啥生意都不容易，东西确实不错，很值得购买,尺寸:20寸;颜色分类:复古镜面拉链-耀目黑,['范***3']
2018-10-10 21:44:30,此用户没有填写评论!,尺寸:24寸;颜色分类:防刮铝框-耀目黑,['紫***0']
2018-10-10 12:48:41,此用户没有填写评论!,尺寸:29寸;颜色分类:防刮铝框-星空银,['何***6']
2018-10-12 18:31:00,款式样子很不错，箱子有点出乎我意料的大， 也很好用 ，看上去非常大气和漂亮，轮子很顺滑，很结实，坐着都没事，款式也好看，颜色非常靓丽的呢，质量也很好，手感不错，感觉特别棒，里面有多重的护网，非常贴心，比我想象的还要大，这个尺寸感觉刚刚好，可以装好多的衣服了，哈哈哈，一个箱子解决了我所有行李！！！还送了贴纸很可爱，谢谢掌柜的！,尺寸:24寸;颜色分类:复古镜面铝框-魅惑红,['c***0']
2018-10-10 15:08:12,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面拉链-星空银,['潇***9']
2018-10-10 13:09:43,箱子收到了，包装严实，相当的结实，都能站上去了，我想其他根本就不是问题了！空间大也会比较方便，适合远行，耐装好驾驭，轮子炒鸡滑也静音，很灵活，全方位随便转，密码锁也很好用呢！！卖家送了防尘罩和贴纸，那个贴纸很好看！很可爱，期待美美的出去浪啦，喜欢，喜欢，很喜欢真心推荐！,尺寸:26寸;颜色分类:复古镜面铝框-星空银,['爱***i']
2018-10-10 12:39:19,宝贝已收到，箱子质量很好，很喜欢，轮子转起来很流畅，拉杆用着也结实，版型时尚，很厚实的外壳，内置高端，装了不少东西，容量挺大，中间有隔层，很方便，送很多小礼物，都用得上，而且还很可爱，出门旅游不会累，包装也很好，棒棒哒。,尺寸:24寸;颜色分类:复古镜面铝框-星空银,['w***友']
2018-10-10 15:08:57,此用户没有填写评论!,尺寸:22寸;颜色分类:防刮拉链-玫瑰金,['梦***l']
Date,Comment,catagory,User
2018-10-12 10:02:33,物流超级快，箱子收到了，太满意，这箱子绝对首选啊，值得拥有的一个箱子，朋友们，可以的。轮子很顺滑，很好用，无论是外观还是功能，都是同价中优秀的，这么便宜又是品牌的箱子。赞。拉链试了试还是挺顺滑的，轮子也不错 ，颜色特别好看，颜色和我心意，漂亮不张扬，哈哈哈，喜欢,尺寸:24寸;颜色分类:复古镜面拉链-星空银,['一***y']
2018-10-09 21:33:23,超级喜欢，大小刚刚适合，正好方便小长假回家使用，而且颜色无差，非常的好看，没有有点色差，还送了贴图和保护套，根本不怕划伤，薄而轻巧反而很实用，店家太贴心了，价格还实惠，这么便宜买这么好的一个箱子，真的是赚到了。,尺寸:24寸;颜色分类:防刮铝框-耀目黑,['2***b']
2018-10-10 22:08:14,终于收到了，真的很漂亮的一款箱子 箱子非常棒， 很喜欢 轻便好拿箱子颜色非常正，正是我想要的颜色，轮子非常顺滑，非常方便， 轮子不卡 不易缠上东西 这点非常满意 不必再担心轮子被各种东西轻易卡住 出门的焦点 哈哈 很时尚的箱子 买得很值 可推荐购买~收到货就迫不及待的拆开了~非常满意的一次购物~,尺寸:24寸;颜色分类:复古镜面拉链-耀目黑,['清***钩']
2018-09-30 17:28:40,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面拉链-耀目黑,['t***1']
2018-10-07 10:13:12,这个箱子两个人去旅行挺好的，能装两人量，女朋友就啥都不用拎了。说回箱子，轮子挺顺滑的，拖的方便，还送了贴纸小礼物，贴上以后有种网红行李箱的feel，有没有，喜欢的赶快下单噢，机不合适，失不再来。好评！,尺寸:24寸;颜色分类:防刮拉链-星空银,['廿***迷']
2018-10-09 21:41:31,箱子太好了，非常的惊艳，超过心理预期！帅帅哒的，酷酷的，轮子非常顺滑，性价比真是超高，跟便宜的相比，质量又好的太多，总之想要箱子的选这家绝对没错！更重要的是卖家的服务非常好！再次祝生意兴隆！,尺寸:29寸;颜色分类:复古镜面铝框-耀目黑,['5***燕']
2018-09-25 12:39:00,此用户没有填写评论!,尺寸:22寸;颜色分类:复古镜面拉链-墨竹绿,['今***0']
2018-10-10 11:06:45,轮子和拉杆都超级顺滑，我的体重可以稳稳的坐在上面，并且滑动很顺畅，颜色超级好看，很有大牌的感觉，非常结实。拉杆提拉很顺利，可以调节几段，不管是推着还是拉着都很适合，密码锁很安全啊质量非常好，颜色也好看，滑轮的声音也比较小，拉动很轻松呢，带着很轻便，颜色非常的靓丽呢，尺寸也正好，还送了小礼物。很满意。正好旅游用。,尺寸:20寸;颜色分类:防刮拉链-星空银,['t***5']
2018-10-08 16:46:52,此用户没有填写评论!,尺寸:24寸;颜色分类:复古镜面拉链-星空银,['欣***3']
2018-10-11 20:49:46,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面拉链-深河蓝,['微***3']
2018-10-10 17:37:45,嘻嘻真心不错，物流快 &hellip;&hellip;卖家包装的很贴心，非常严实呢，收到确实质量好，服务不错，样式很好，价格还很便宜， 打开包装，让我大大吃惊~~箱子真的很漂亮，箱子里面的空间也很大，设计很合理，比那种老式拉杆箱设计的空间真的大很多，可以放好多好多的东西。颜色看着好看，万向轮很顺滑 ，喜欢的快快入手吧，是一次很好的网购，以后还会再来光顾的，强力推荐,尺寸:24寸;颜色分类:复古镜面铝框-耀目黑,['8***龙']
2018-10-11 15:14:30,总体来说还是不错的，最起码比外边卖的要好，还实惠，拉锁的也比其它锁的那种强很多&hellip;&hellip;话不多说，好评，之前一直在忙，到家十多天也忘记评论了，卖家给打得电话才记起来，说啥生意都不容易，东西确实不错，很值得购买,尺寸:20寸;颜色分类:复古镜面拉链-耀目黑,['范***3']
2018-10-10 21:44:30,此用户没有填写评论!,尺寸:24寸;颜色分类:防刮铝框-耀目黑,['紫***0']
2018-10-10 12:48:41,此用户没有填写评论!,尺寸:29寸;颜色分类:防刮铝框-星空银,['何***6']
2018-10-12 18:31:00,款式样子很不错，箱子有点出乎我意料的大， 也很好用 ，看上去非常大气和漂亮，轮子很顺滑，很结实，坐着都没事，款式也好看，颜色非常靓丽的呢，质量也很好，手感不错，感觉特别棒，里面有多重的护网，非常贴心，比我想象的还要大，这个尺寸感觉刚刚好，可以装好多的衣服了，哈哈哈，一个箱子解决了我所有行李！！！还送了贴纸很可爱，谢谢掌柜的！,尺寸:24寸;颜色分类:复古镜面铝框-魅惑红,['c***0']
2018-10-10 15:08:12,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面拉链-星空银,['潇***9']
2018-10-10 13:09:43,箱子收到了，包装严实，相当的结实，都能站上去了，我想其他根本就不是问题了！空间大也会比较方便，适合远行，耐装好驾驭，轮子炒鸡滑也静音，很灵活，全方位随便转，密码锁也很好用呢！！卖家送了防尘罩和贴纸，那个贴纸很好看！很可爱，期待美美的出去浪啦，喜欢，喜欢，很喜欢真心推荐！,尺寸:26寸;颜色分类:复古镜面铝框-星空银,['爱***i']
2018-10-10 12:39:19,宝贝已收到，箱子质量很好，很喜欢，轮子转起来很流畅，拉杆用着也结实，版型时尚，很厚实的外壳，内置高端，装了不少东西，容量挺大，中间有隔层，很方便，送很多小礼物，都用得上，而且还很可爱，出门旅游不会累，包装也很好，棒棒哒。,尺寸:24寸;颜色分类:复古镜面铝框-星空银,['w***友']
2018-10-10 15:08:57,此用户没有填写评论!,尺寸:22寸;颜色分类:防刮拉链-玫瑰金,['梦***l']
Date,Comment,catagory,User
2018-10-05 19:19:50,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面铝框-星空银,['w***9']
2018-07-27 14:51:26,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面铝框-耀目黑,['转***5']
2018-09-05 09:38:53,此用户没有填写评论!,尺寸:26寸;颜色分类:防刮拉链-星空银,['灵***头']
2018-10-03 18:52:24,此用户没有填写评论!,尺寸:24寸;颜色分类:复古镜面铝框-玫瑰金,['y***9']
2018-10-04 16:00:23,行李箱收到不错。很满意，喜欢这个颜色。，跟我想象中一摸一样。质量也不错。喜欢一个人去旅行。这个箱子挺合适的设计挺不错，美观大方实用，满意，，客服态度不错，有问必答，很及时。物廉价美，喜欢箱子外观大气上档次，质量上乘，特别是容量大，推着很重的东西一点也不费力，下次一定还会去购买的,尺寸:20寸;颜色分类:复古镜面铝框-深河蓝,['蔡***刚']
2018-09-30 12:40:01,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面拉链-墨竹绿,['四***天']
2018-10-05 21:27:43,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面铝框-深河蓝,['优***翔']
2018-10-09 21:04:53,这款行李箱在外观、材质、颜色以及性价比这几方面综合考虑还是非常合适的。箱子样式好看，颜色很正。质量跟商场的差不多，价钱便宜，比商场的实惠多了，质量也很好很好！！推荐购买,尺寸:22寸;颜色分类:防刮拉链-水晶紫,['t***4']
2018-10-07 16:23:15,箱子收到了，看着还是挺不错的，质量看起来还好，轮子很顺滑，中通快递的包装也很好，快递速度也挺快，还送了很多贴着，箱子空间很大哦，好评 卖家服务态度很好，尤其是因为决定去西藏后才买的箱子，时间很紧，给店员客服说了情况，马上就给安排了最快的中通快递，给客服小姐姐赞一个,尺寸:29寸;颜色分类:复古镜面铝框-深河蓝,['随***g']
2018-09-29 19:44:21,此用户没有填写评论!,尺寸:24寸;颜色分类:复古镜面拉链-星空银,['p***y']
Date,Comment,catagory,User
2018-10-07 14:45:49,物美价廉，真的非常实惠，非常喜欢，特意买来结婚用的，空间非常大。朋友也快结婚了，觉得我这个箱子好，打算买一个送给她,尺寸:29寸;颜色分类:复古镜面拉链-魅惑红,['t***0']
2018-09-29 11:59:39,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面铝框-墨竹绿,['t***0']
2018-10-11 15:25:28,此用户没有填写评论!,尺寸:29寸;颜色分类:防刮拉链-尊贵黑,['l***2']
2018-10-07 13:32:56,箱子收到了质量非常好，里面空间很大，拉杆够长，颜色也是想要的，没有色差，轱辘特别滑，开始还担心没有拉链，衣服会露出来，和我有相同疑惑的朋友可以消除顾虑啦，锁扣特别紧！白晶晶客服很贴心，购买时忘了用劵主动提示，感谢信任！,尺寸:29寸;颜色分类:复古镜面铝框-深河蓝,['陆***用']
2018-10-11 12:58:00,宝贝收到了很棒的行李箱便宜大腕又实惠炒鸡物美价廉的啦 顺丰快递 物流很快 最近这两天太忙了 所以收到货后今天才来得及评价 箱子质量不错 容量很大 买的尺寸和我预想的差不多 客服态度非常好 耐心的解答所有的问题 轮子也挺大的 无色差~~有贴心地送了小贴纸和防磨损的布袋可以说是很奶思了 很喜欢 大爱,尺寸:22寸;颜色分类:防刮铝框-耀目黑,['浅***久']
2018-09-30 18:02:39,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面拉链-深河蓝,['咯***俩']
2018-10-08 12:00:08,外观漂亮，颜色很好看，给家人买的，之前就买过店里的旅行箱，实用，质量非常好，完全超出期望值。造型很好看，带独特风格的，做工也挺好的，轮子没响声，也特别的很顺滑，很结实，里面空间很大，手感不错，感觉特别棒，发货速度非常快，物流很快就收到啦，包装非常仔细、严实，还送了小礼物，3张贴纸，非常贴心，很赞很赞。性价比超高的一家非常好的店铺 下次继续光临,尺寸:24寸;颜色分类:防刮铝框-墨竹绿,['j***4']
2018-10-11 19:39:29,刚收到、还担心质量，收到货就放下心了、质量真的不错！颜色也很好看！推起来很轻松！ 店家也是很人情的！客服推荐的码子、大小是我合意的，箱子面层质量很好呢，里面的隔层设计的挺好的、容量也很大，总之很喜欢、 推荐朋友了，因为朋友看到了也喜欢，刚好她也想买一个这样的行李箱，出远门方便！喜欢的亲可以下手了！值得放心购买。,尺寸:26寸;颜色分类:防刮铝框-星空银,['c***0']
2018-10-04 14:45:22,尺寸也正好，不大不小；刚刚好，空间挺大的，箱体也挺结实，轮子很灵活轻便，轮子顺滑无噪音；声音很小，颜色是我想要的颜色，清爽亮丽，密码还没设置，看说明书很简单便捷，买家很贴心送的贴纸和箱套很喜欢，图片太多没法展示了，哈哈,尺寸:26寸;颜色分类:防刮铝框-玫瑰金,['忘***我']
2018-10-09 20:53:04,旅行箱已经收到了，外观的颜色非常亮丽，非常适合年轻人。箱子质量非常好，杆子升降很顺滑，箱内设计的很完美，摸上去非常的舒适，质量很不错的呢，朋友看了也准备下单。谢谢客服和商家！让我这么快收到这么如意的箱子，让我如愿踏上旅途！谢谢！颜色美美哒。推荐给需要买箱子的小伙伴哦。这个价位买到，很值得呢！,尺寸:20寸;颜色分类:复古镜面铝框-玫瑰金,['c***0']
2018-10-04 20:50:41,此用户没有填写评论!,尺寸:26寸;颜色分类:防刮铝框-星空银,['宋***1']
2018-09-29 10:41:32,此用户没有填写评论!,尺寸:24寸;颜色分类:防刮拉链-玫瑰金,['泡***泡']
2018-10-05 21:39:44,都很喜欢，特别是出去溜达一圈后，质量还那么好，很结实，箱子容量是大，有装了不少东西出门旅游，拉杆结实有力，调节起来很方便，而且提拉很顺畅，非常赞。密码锁很有质感，提手握着很舒服，也很结实，里面隔层分区显明，合理分配，设计非常好，五星推荐！好评！,尺寸:20寸;颜色分类:防刮拉链-玫瑰金,['6***w']
2018-09-30 22:45:41,此用户没有填写评论!,尺寸:24寸;颜色分类:复古镜面铝框-耀目黑,['别***1']
2018-09-29 10:50:34,此用户没有填写评论!,尺寸:22寸;颜色分类:防刮拉链-玫瑰金,['天***男']
2018-10-12 19:11:14,行李箱收到了，最满意的是物流的速度咯，很快的，颜色和图片色描述一致，轮子也很有方向感，很轻巧方便，宝宝坐在上面都不会塌陷，出门有宝的还可以坐在行李箱上面，容量挺大，第一次在淘宝买行李箱，还以为质量没有实体店的好，没有想到收到后，到处检查了一下，真的还可以，质量和实体店差不多，甚至比店里优惠很多。还送了一大堆贴纸，总得来说是一次比较满意的购物哦，确实挺好的。有需要还会过来呦,尺寸:26寸;颜色分类:防刮铝框-星空银,['淡***0']
2018-10-08 17:10:57,此用户没有填写评论!,尺寸:20寸;颜色分类:防刮拉链-星空银,['t***8']
2018-10-10 17:15:32,这个箱子真的太棒了，跟图片一模一样，大小也刚合适，质量没得说啊，镜面的超级漂亮，白白净净的，超级清新干净呀，这个颜色超有味道，夏天拖出去，看着就清爽。尺寸空间容量很大，两个人出去一周的东西都可以放的下。妥妥的完全没问题，轮子也好推，还送了贴贴，物美价廉。内部构造也很完美，喜欢的小伙伴不要犹豫了，赶紧下手吧,尺寸:26寸;颜色分类:防刮拉链-尊贵黑,['t***3']
2018-10-11 09:59:10,箱子形状特别 Q ，直接坐上去也完全 OK ，颜色很正，非常漂亮，我非常喜欢！和描述一样，没有一点色差，质地轻盈，质感好，轮子很顺滑，滑起来很顺畅，轮子真的声音特别特别静，容量蛮大的，好喜欢，之前买的时候纠结了很久的颜色热心的客服，推荐这个颜色，看到实物后，果真没有让人失望，很好搭配，怎么搭配都很好看，其次，箱子内里收纳设计的很好可以根据需要拆分，特别实用，内衬的料子也比较厚实，而且物流也特别给力！质量也非常的好，淘友们可以放心下单了。,尺寸:24寸;颜色分类:复古镜面铝框-耀目黑,['c***3']
Date,Comment,catagory,User
2018-10-11 18:40:07,此用户没有填写评论!,尺寸:29寸;颜色分类:防刮拉链-玫瑰金,['z***子']
2018-10-12 14:42:14,此用户没有填写评论!,尺寸:24寸;颜色分类:防刮铝框-玫瑰金,['p***i']
Date,Comment,catagory,User
2018-09-30 10:51:51,此用户没有填写评论!,尺寸:24寸;颜色分类:复古镜面拉链-耀目黑,['t***1']
2018-09-29 23:34:20,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面铝框-深河蓝,['t***9']
2018-09-29 19:25:43,此用户没有填写评论!,尺寸:26寸;颜色分类:防刮拉链-尊贵黑,['黄***7']
2018-08-28 13:55:26,此用户没有填写评论!,尺寸:20寸;颜色分类:防刮铝框-玫瑰金,['t***7']
2018-10-08 14:18:57,&nbsp;质量真心不错，颜色纯正，做工精细，轮子很容易走动哦，很好推哦，360度无死角，前面还有挂包设计，很棒，箱子内部空间比较大，能装很多东西，卖家态度也好，总之五星好评了，物美价廉，心动的伙伴可以购买咯，我就是朋友介绍购买的,尺寸:24寸;颜色分类:防刮拉链-墨竹绿,['b***浩']
2018-09-02 20:55:20,此用户没有填写评论!,尺寸:20寸;颜色分类:防刮拉链-星空银,['脸***觉']
2018-09-27 15:04:19,此用户没有填写评论!,尺寸:26寸;颜色分类:防刮铝框-耀目黑,['潘***0']
2018-10-11 12:27:25,物美价廉，质量真的非常好，绝对的物超所值，包装非常严密，基本上没有味道。已经在你家买过几次了 质量很好 今年 就认定你家啦～比图片上看到的好多了！颜色很正，哈哈哈 卖家服务真周到。宝贝质量不错，很喜欢！下次还会来的 ！真是一个好卖家。今天拉出去大家都说我买得太划算了！朋友还让我帮忙拍，呵呵，好东西大家分享,尺寸:22寸;颜色分类:防刮拉链-玫瑰金,['z***仪']
2018-08-19 12:04:16,此用户没有填写评论!,尺寸:26寸;颜色分类:防刮铝框-玫瑰金,['甜***2']
2018-10-01 09:07:13,宝贝收到了很棒的行李箱便宜大腕又实惠炒鸡物美价廉的啦 顺丰快递 物流很快 最近这两天太忙了 所以收到货后今天才来得及评价 箱子质量不错 容量很大 买的尺寸和我预想的差不多 客服态度非常好 耐心的解答所有的问题 轮子也挺大的 无色差~~有贴心地送了小贴纸和防磨损的布袋可以说是很奶思了 很喜欢 大爱,尺寸:20寸;颜色分类:复古镜面铝框-深河蓝,['f***翔']
2018-09-29 20:23:00,此用户没有填写评论!,尺寸:22寸;颜色分类:复古镜面拉链-深河蓝,['t***8']
2018-09-29 12:17:04,此用户没有填写评论!,尺寸:24寸;颜色分类:复古镜面铝框-墨竹绿,['阿***作']
2018-09-30 16:25:33,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面拉链-玫瑰金,['t***2']
2018-10-05 20:11:15,此用户没有填写评论!,尺寸:24寸;颜色分类:复古镜面铝框-深河蓝,['9***q']
2018-10-04 19:54:15,此用户没有填写评论!,尺寸:26寸;颜色分类:防刮铝框-星空银,['福***哥']
2018-09-22 10:34:25,此用户没有填写评论!,尺寸:24寸;颜色分类:复古镜面拉链-耀目黑,['t***4']
2018-10-07 17:47:38,宝贝收到了，很满意，红色很显眼，漂亮，女儿很喜欢，尺寸正合适，轮子很滑好用，以后还会再来！！,尺寸:20寸;颜色分类:复古镜面拉链-魅惑红,['杨***5']
2018-09-27 23:40:32,此用户没有填写评论!,尺寸:24寸;颜色分类:防刮铝框-星空银,['t***2']
2018-10-02 17:10:14,此用户没有填写评论!,尺寸:20寸;颜色分类:防刮拉链-深河蓝,['李***1']
Date,Comment,catagory,User
2018-10-10 15:48:16,此用户没有填写评论!,尺寸:20寸;颜色分类:防刮拉链-星空银,['为***2']
2018-09-19 11:51:08,此用户没有填写评论!,尺寸:20寸;颜色分类:复古镜面拉链-耀目黑,['归***无']
2018-10-09 20:32:40,此用户没有填写评论!,尺寸:24寸;颜色分类:防刮铝框-星空银,['t***2']
2018-09-24 23:26:43,此用户没有填写评论!,尺寸:24寸;颜色分类:复古镜面铝框-耀目黑,['挚***7']
2018-10-10 16:45:22,此用户没有填写评论!,尺寸:20寸;颜色分类:防刮铝框-耀目黑,['紫***4']
2018-10-04 13:10:51,万向轮很顺滑，拉杆结实，这个大小暑假打算出去旅游，家里的行李箱轮子不好用了，选来选去选中了这款，正好有活动，颜色漂亮，材质是偏软的，又不打算坐在上面，轮子也很好用，还送了贴贴纸，满意。,尺寸:26寸;颜色分类:复古镜面拉链-耀目黑,['g***9']
2018-10-05 17:04:49,行李箱收到了，非常满意，非常满意，非常满意，重要的事情说三遍。快递十分给力，服务态度也好，行李箱包装完整，无任何损坏，质量很好，颜色很正，设计也很科学，还送了贴纸，很可爱哦，很愉快的一次购物体验。,尺寸:20寸;颜色分类:复古镜面铝框-深河蓝,['李***4']
2018-10-05 20:37:37,好棒呀~~~轮子和拉杆都超级顺滑，空箱子的情况下，我的体重可以稳稳的坐在上面，并且滑动很顺畅，颜色超级好看，很有大牌的感觉，非常结实。拉杆提拉很顺利，可以调节几段，不管是推着还是拉着都很适合，密码锁很安全啊，大众的评价不是盖的！强烈推荐！,尺寸:20寸;颜色分类:复古镜面铝框-深河蓝,['周***想']
2018-10-12 19:47:28,物流挺快的，宝贝昨天收到的，很喜欢，今天才来评价，感觉买的很值，物美价廉。外形很漂亮，里面设计的也挺好的，颜色也很漂亮，不大不小，店家服务态度也很好，店家还送了小礼品，很结实，外形拉链设计的非常好，没什么味道，好评好评哦，帮弟弟到时候也买一个。喜欢赶紧入手吧。,尺寸:20寸;颜色分类:复古镜面铝框-墨竹绿,['王***7']
2018-10-10 13:12:24,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面拉链-耀目黑,['x***3']
2018-10-04 19:43:22,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面拉链-耀目黑,['颜***5']
2018-10-04 20:13:23,此用户没有填写评论!,尺寸:20寸;颜色分类:防刮铝框-玫瑰金,['莫***兮']
2018-10-10 16:04:13,此用户没有填写评论!,尺寸:24寸;颜色分类:防刮铝框-魅惑红,['崔***r']
2018-10-10 18:18:00,此用户没有填写评论!,尺寸:20寸;颜色分类:防刮拉链-尊贵黑,['w***2']
2018-10-04 19:42:54,此用户没有填写评论!,尺寸:24寸;颜色分类:防刮拉链-星空银,['l***2']
Date,Comment,catagory,User
2018-10-05 11:51:02,此用户没有填写评论!,尺寸:26寸;颜色分类:防刮拉链-玫瑰金,['y***3']
2018-10-05 15:31:31,跟我想象的一样，找朋友要了链接来买的。很满意，满足日常需求足够，质量杠杠滴，使用个几年应该完全没问题，跟那些大牌相比，性价比真是超高，跟便宜的相比，质量又好的太多，总之想要箱子的选这家绝对没错！提着出去旅游很有范儿，关键价格实惠，值得购买！！！更重要的是卖家的服务非常好！再次祝生意兴隆！总体还是挺满意！好评,尺寸:24寸;颜色分类:复古镜面拉链-深河蓝,['戏***0']
2018-10-09 20:39:22,评价晚了。物流很快就到了，刚开始拍错颜色了，然后联系卖家帮我换了一个颜色。大小刚好 和实物相同，没有色差。非常好推万能轮。,尺寸:22寸;颜色分类:防刮拉链-玫瑰金,['一***好']
2018-10-05 19:58:03,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面铝框-耀目黑,['奥***岁']
2018-10-05 15:07:40,此用户没有填写评论!,尺寸:20寸;颜色分类:复古镜面拉链-耀目黑,['j***n']
2018-10-03 09:52:22,此用户没有填写评论!,尺寸:26寸;颜色分类:防刮拉链-玫瑰金,['小***离']
2018-09-01 19:38:57,此用户没有填写评论!,尺寸:29寸;颜色分类:防刮铝框-耀目黑,['t***7']
2018-09-28 20:04:57,此用户没有填写评论!,尺寸:24寸;颜色分类:防刮拉链-玫瑰金,['不***空']
2018-09-28 23:22:05,此用户没有填写评论!,尺寸:20寸;颜色分类:防刮拉链-深河蓝,['z***0']
2018-10-11 18:59:32,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面铝框-星空银,['岩***8']
2018-10-01 21:23:31,宝贝收到啦。黑色颜色相当的漂亮哦，非常喜欢，实物与图片一样棒棒哒，细节处理的也很好，轮子也很好，推起来很顺滑，拉杆也灵活，里面空间也超级大的，还送了萌萌哒的贴纸，爱死买家了，超级好评。强烈推荐。喜欢的赶紧入手吧客服态度很好！,尺寸:22寸;颜色分类:防刮铝框-墨竹绿,['y***1']
Date,Comment,catagory,User
2018-10-11 15:44:46,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面拉链-耀目黑,['t***3']
2018-08-27 15:53:01,此用户没有填写评论!,尺寸:26寸;颜色分类:防刮铝框-耀目黑,['烈***9']
2018-10-11 11:00:09,拉杆箱收到了，好喜欢，是我想要的，这下出去玩就不怕没有大一点的箱子了，装两个人的东西都装的下了，,尺寸:29寸;颜色分类:防刮拉链-玫瑰金,['t***1']
2018-10-03 12:41:14,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面拉链-耀目黑,['小***a']
2018-10-02 19:54:37,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面拉链-墨竹绿,['潇***一']
2018-10-06 10:45:20,此用户没有填写评论!,尺寸:29寸;颜色分类:复古镜面铝框-墨竹绿,['球***3']
